Name,Tier,Size,Family,Series,vCPUs,MemoryGB,Generation,Architecture
Standard_D8_v5,Standard,D8_v5,GeneralPurpose,Dv5,8,32,5,Intel
Standard_DC8ads_cc_v5,Standard,DC8ads_cc_v5,GeneralPurposeConfidential,DCADCCV5,8,32,5,AMD
Standard_DC8ads_v5,Standard,DC8ads_v5,GeneralPurposeConfidential,DCADSv5,8,32,5,AMD
Standard_DC8ads_v6,Standard,DC8ads_v6,GeneralPurposeConfidential,DCadsv6,8,32,6,AMD
Standard_DC8as_cc_v5,Standard,DC8as_cc_v5,GeneralPurposeConfidential,DCACCV5,8,32,5,AMD
Standard_DC8as_v5,Standard,DC8as_v5,GeneralPurposeConfidential,DCASv5,8,32,5,AMD
Standard_DC8as_v6,Standard,DC8as_v6,GeneralPurposeConfidential,DCasv6,8,32,6,AMD
Standard_DC8ds_v3,Standard,DC8ds_v3,GeneralPurpose,DDCSv3,8,64,3,Intel
Standard_DC8s_v3,Standard,DC8s_v3,GeneralPurposeConfidential,DCSv3,8,64,3,Intel
Standard_DC8_v2,Standard,DC8_v2,GeneralPurposeConfidential,DCSv2,8,32,2,Intel
Standard_E8-2ads_v5,Standard,E8-2ads_v5,MemoryOptimized,EADSv5,8,64,5,AMD
Standard_E8-2ads_v7,Standard,E8-2ads_v7,MemoryOptimized,Eadsv7,8,64,7,AMD
Standard_E8-2as_v4,Standard,E8-2as_v4,MemoryOptimized,EASv4,8,64,4,AMD
Standard_E8-2as_v5,Standard,E8-2as_v5,MemoryOptimized,EASv5,8,64,5,AMD
Standard_E8-2as_v7,Standard,E8-2as_v7,MemoryOptimized,Easv7,8,64,7,AMD
Standard_E8-2ds_v4,Standard,E8-2ds_v4,MemoryOptimized,EDSv4,8,64,4,Intel
Standard_E8-2ds_v5,Standard,E8-2ds_v5,MemoryOptimized,EDSv5,8,64,5,Intel
Standard_E8-2ds_v6,Standard,E8-2ds_v6,MemoryOptimized,Edsv6,8,64,6,Intel
Standard_E8-2s_v3,Standard,E8-2s_v3,MemoryOptimized,ESv3,8,64,3,Intel
Standard_E8-2s_v4,Standard,E8-2s_v4,MemoryOptimized,ESv4,8,64,4,Intel
Standard_E8-2s_v5,Standard,E8-2s_v5,MemoryOptimized,ESv5,8,64,5,Intel
Standard_E8-2s_v6,Standard,E8-2s_v6,MemoryOptimized,Esv6,8,64,6,Intel
Standard_E8-4ads_v5,Standard,E8-4ads_v5,MemoryOptimized,EADSv5,8,64,5,AMD
Standard_E8-4ads_v7,Standard,E8-4ads_v7,MemoryOptimized,Eadsv7,8,64,7,AMD
Standard_E8-4as_v4,Standard,E8-4as_v4,MemoryOptimized,EASv4,8,64,4,AMD
Standard_E8-4as_v5,Standard,E8-4as_v5,MemoryOptimized,EASv5,8,64,5,AMD
Standard_E8-4as_v7,Standard,E8-4as_v7,MemoryOptimized,Easv7,8,64,7,AMD
